#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.name,ltable.streetAddress,rtable.name,rtable.streetAddress,gold
627,8,2437,bogota latin bistro,141 5th Ave,asian bistro,70 7th Ave,0
1690,74,1175,monsignors restaurant,679 5th Ave,morning star restaurant,879 9th Ave,0
2650,109,2339,bo ky restaurant,80 Bayard St,69 bayard restaurant corp,69 Bayard St,0
3273,154,1568,ipanema restaurant,43 W 46th St,demarchelier restaurant,50 E 86th St,0
4613,215,2445,eleven madison park,11 Madison Ave,eleven madison park,11 Madison Ave,1
9751,546,143,pepolino restaurant,281 W Broadway,quoc & huong restaurant,1 E Broadway,0
11563,556,2933,lasso pizza,192 Mott St,cultura pizza,151 Mott St,0
11713,559,516,the nomad restaurant,1170 Broadway,el presidente restaurant,3938 Broadway,0
14129,624,2421,juniors restaurant,1515 Broadway,josephina restaurant,1900 Broadway,0
17649,774,102,rabbithole restaurant,352 Bedford Ave,okura japanese restaurant inc,519 3rd Ave,0
19211,815,1691,hillstone restaurant,153 E 53rd St,chelsea square restaurant,368 W 23rd St,0
19982,832,2282,cabana restaurant,1022 3rd Ave,jaiya thai restaurant,396 3rd Ave Frnt 1,0
23586,953,904,sweet chick,178 Ludlow St,sweet chick,178 Ludlow St,1
25684,1041,3089,han bat sul lung tang,4163 W 5th St,han bat shul lung tang,4163 W 5th St,1
26518,1052,5907,guelaguetza restaurante,3014 W Olympic Blvd,seoul garden restaurant,1833 W Olympic Blvd,0
26548,1055,4340,franco on melrose,6919 Melrose Ave,the foundry on melrose,7465 Melrose Ave,0
29942,1101,5255,andres italian restaurant,6332 W 3rd St,eva's lechon & restaurant,4252 W 3rd St,0
30124,1109,5552,suehiro cafe,337 E 1st St,suehiro cafe inc,337 E 1st St,1
32323,1148,4022,golden mongolian restaurant,3012 Wilshire Blvd,el buen gusto restaurant family,"3140 Glendale Blvd, Los Angeles, CA 90039",0
32475,1148,4616,golden mongolian restaurant,3012 Wilshire Blvd,kuishimbo restaurant,4001 Wilshire Blvd,0
33825,1157,4130,wilde wine bar & restaurant,320 South La Brea,little kitchen restaurant,1292 S La Brea Ave,0
34292,1165,5421,the park,1400 Sunset Blvd,the pikey,7617 W Sunset Blvd,0
34834,1184,5196,hello italian fusion restaurant,607 S Western Ave Ste 201,clemen's restaurant,3551 S Western Ave,0
35249,1204,3686,zermeos restaurant,6115 Santa Monica Blvd,sunshine restaurant,5706 Santa Monica Blvd,0
36869,1229,4445,vintage enoteca,7554 W Sunset Blvd,vintage enoteca,7554 W Sunset Blvd,1
37128,1250,3265,hae jang chon korean bbq restaurant,3821 W 6th St,shin jung restaurant,3450 W 6th St Ste 101,0
37533,1250,5384,hae jang chon korean bbq restaurant,3821 W 6th St,sabdari gom tang restaurant,3470 W 6th St,0
37723,1255,5051,da jeong korean cuisine,3909 1/2 W Olympic Blvd,korean bbq,2897 W Olympic Blvd # 105,0
38550,1261,3130,e-moon oak restaurant,869 S Western Ave Ste 5,sigol restaurant,478 N Western Ave,0
39112,1261,5494,e-moon oak restaurant,869 S Western Ave Ste 5,joan & sisters restaurant,3709 S Western Ave,0
40741,1282,3679,panns restaurant,6710 La Tijera Blvd,sompun thai restaurant,4156 Santa Monica Blvd,0
