#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.name,ltable.streetAddress,rtable.name,rtable.streetAddress,gold
292876,6569,19993,tommys restaurant,8823 Wurzbach Rd,jim's restaurant,8311 Marbach Rd,0
255729,5883,15732,waamo restaurant,5050 E McDowell Rd,kampai japanese restaurant,2945 E Bell Rd Ste 102,0
348546,7939,23163,humbertos taco shop,1015 25th St Ste C,humberto's taco shop,1015 25th St,1
219229,4812,12321,freddy & tonys restaurant,201 W Allegheny Ave,freddy & tony's restaurant,201 W Allegheny Ave,1
388928,9081,27265,thai elephant express,3005 Silver Creek Rd Ste 128,panda express,4898 San Felipe Rd Ste 140,0
397325,9232,28729,la peita restaurant,601 S 1st St,la penita restaurant,601 S 1st St,1
61486,1565,3865,western doma noodles,429 N Western Ave Ste 10,western doma noodles apt 10,429 N Western Ave,1
366449,8546,25777,oak cliff social club,238 W Davis St,oak cliff pizza & pasta,1315 W Davis St,0
189068,4190,12896,rangoon burmese restaurant,112 N 9th St,ralph's italian restaurant,760 S 9th St,0
414435,9567,28729,mosaic restaurant,Four Points Sheraton 211 S 1st St,la penita restaurant,601 S 1st St,0
157085,3568,9984,osaka japanese restaurant,5709 Woodway Dr Ste B,doneraki restaurant,2903 Woodridge Dr Ste 300,0
236436,5265,17316,los compadres mexican food,4414 N 7th Ave,alfonso's mexican food,18631 N 19th Ave,0
80904,1905,4756,roccos italian kitchen,6335 Wilshire Blvd,yuko kitchen,5484 Wilshire Blvd,0
333708,7421,21919,mamas grill,7420 Clairemont Mesa Blvd Ste 104,chili's grill & bar,4060 Clairemont Mesa Blvd,0
372107,8653,25556,royal wok chinese restaurant,2560 Royal Ln Ste 100,phillips brothers restaurant,12900 Preston Rd Ste 1111,0
141280,3292,10000,nippon japanese restaurant,4464 Montrose Blvd,shanghai chinese restaurant,9116 Bellaire Blvd,0
3273,154,1568,ipanema restaurant,43 W 46th St,demarchelier restaurant,50 E 86th St,0
145137,3336,9249,laurenzos restaurant,4412 Washington Ave,benlis restaurant,5922 Washington Ave,0
161641,3636,10752,chachos mexican restaurant,6006 Westheimer Rd,shere punjav restaurant,12315 Westheimer Rd,0
30124,1109,5552,suehiro cafe,337 E 1st St,suehiro cafe inc,337 E 1st St,1
373285,8685,26067,zenna,300 N Akard St,zenna,300 N ACRED STREET SUIT 100,1
101984,2422,6402,greek islands restaurant,200 S Halsted St,nookies tree restaurant,3334 N Halsted St,0
41282,1288,4577,shin-sen-gumi hakata ramen - west l.a.,1601 Sawtelle Blvd,hakata ramen shin-sen-gumi,1601 Sawtelle Blvd # 101,1
246841,5624,14883,tonys italian delicatessen,536 E Dunlap Ave,tony's italian delicatessen,536 E Dunlap Ave,1
79446,1887,3552,beverly soon tofu restaurant,2717 W Olympic Blvd Ste 108,sabina's european restaurant,1253 Vine St Ste 12,0
283201,6403,18522,biga on the banks,203 S Saint Marys St Ste 100,windows on the river,217 N Park Blvd Mary's,0
408544,9466,27344,angies pizza italian restaurant,1535 S Winchester Blvd,angie's pizza,1535 S Winchester Blvd,1
324259,7142,21445,the mission cafe,3795 Mission Blvd,mission trails,7385 Mission Gorge Rd,0
194451,4324,13510,pho 75 restaurant,1122 Washington Ave,hai tien restaurant,1603 Washington Ave,0
42482,1316,3496,palms thai restaurant,5900 Hollywood Blvd Ste B,palm thai restaurant,5900 Hollywood Blvd,1
357648,8274,25933,sevys grill,8201 Preston Rd Ste 100,kona grill,8687 N Central Expy Ste 1722,0
424761,9794,27841,savoy bar and grill,855 N 13th St,gecko grill,855 N 13th St,0
136601,3203,9433,hokkaido japanese restaurant,9108 Bellaire Blvd Ste B,one dragon restaurant,9310 Bellaire Blvd,0
108831,2582,7012,emperors choice restaurant,2238 S Wentworth Ave,emperor's choice,2238 S Wentworth Ave,1
285258,6455,19089,abuelas mexican restaurant,2313 NW Military Hwy,sim restaurant,5036 W Military Dr,0
47770,1413,4811,sushi gen,422 E 2nd St,hama sushi,347 E 2nd St,0
121905,2989,9007,la griglia restaurant,2002 West Gray,njoy restaurant,212 Westheimer Rd,0
172203,3799,10150,thai jasmine restaurant,10900 Kingspoint Rd Ste 12,il me jung korean restaurant,10017 Long Point Rd,0
26548,1055,4340,franco on melrose,6919 Melrose Ave,the foundry on melrose,7465 Melrose Ave,0
2650,109,2339,bo ky restaurant,80 Bayard St,69 bayard restaurant corp,69 Bayard St,0
283625,6415,18880,baghdad restaurant & bakery,5713 Evers Rd,maharaja indian restaurant,5718 Evers Rd,0
168252,3731,11796,peking cuisine restaurant,8332 Southwest Fwy,pappas restaurants,12010 East Fwy,0
195822,4381,12328,the farm and fisherman,1120 Pine St,the farm and fisherman,1120 Pine St,1
132271,3130,10141,pappasitos cantina,2515 South Loop W,pappasito's cantina,2515 S Loop W,1
322994,7088,22636,mignon pho + grill,3860 Convoy St Ste 116,mignon pho + grill,3860 Convoy St,1
56179,1509,2968,jeon ju restaurant,2716 W Olympic Blvd Ste 101,playa las tunas restaurant,1107 S Alvarado St Ste 112,0
184110,4117,12031,mad greek restaurant and pizza,3517 Lancaster Ave,calabash restaurant and banquet,6208 Lancaster Ave,0
230367,5045,15850,la oaxaquena mexican restaurant,10430 N 19th Ave Ste 7,mi patio mexican restaurant,3347 N 7th Ave,0
307524,6758,19631,poppys pizza,7115 Blanco Rd Ste 107,papa john's pizza,9902 Potranco Rd Suite 116,0
238688,5351,15958,texas bbq house,5037 S 24th St,texas bbq house,5037 S 24th St # 3,1
179704,3999,13704,stos bar & restaurant,236 Market St,sto's bar & restaurant,236 Market St,1
412370,9519,28265,nha trang restaurant,1820 Tully Rd,govea's restaurant,1996 Tully Rd,0
49858,1450,3537,m grill,3832 Wilshire Blvd Ste 202,panini grill & deli,5354 Wilshire Blvd,0
219266,4812,12527,freddy & tonys restaurant,201 W Allegheny Ave,eddie's chinese restaurant,113 E Allegheny Ave,0
64477,1618,4885,marouch restaurant,4905 Santa Monica Blvd.,harper's restaurant,10250 Santa Monica Blvd Ste 192,0
339680,7639,22425,casa guadalajara,4105 Taylor St,casa guadalajara,4105 Taylor St,1
627,8,2437,bogota latin bistro,141 5th Ave,asian bistro,70 7th Ave,0
131415,3109,9924,chavez mexican cafe,2557 Gessner Rd,juarez mexican restaurant,2545 Gessner Rd,0
338653,7603,23374,seaport village,831 W Harbor Dr,asaggio pizza pasta plus seaport village,879 W Harbor Dr,0
245128,5571,15851,mariscos chihuahua,1834 W Indian School Rd,senaduria mariscos altata,5005 W Indian School Rd,0
