#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.name,ltable.streetAddress,rtable.name,rtable.streetAddress,gold
152684,3509,9278,azuma sushi & robata bar,909 Texas St,azuma downtown,909 Texas St,1
194652,4324,14561,pho 75 restaurant,1122 Washington Ave,golden restaurant,2136 Stenton Ave,0
408265,9452,28718,golden buddha chinese restaurant,2768 Aborn Rd,new sam kee restaurant,1942 Aborn Rd,0
362807,8446,24035,seafood shack,3701 W NW Hwy Ste 195,marisco's seafood shack,3701 W Northwest Hwy,1
374506,8729,24364,sushi zushi,3636 McKinney Ave Ste 150,sushi zushi,3636 McKinney Ave,1
277324,6304,20272,viet nam restaurant,3244 Broadway St,vans chinese seafood restaurant,3214 Broadway St,0
365785,8527,23669,mexicali restaurant,11277 E NW Hwy Ste 148,salum restaurant,4152 Cole Ave Ste 103,0
359933,8376,24295,grimaldis pizzeria,8060 Park Ln Ste 105,carmine's pizzeria,5365 Spring Valley Rd Ste 138,0
252184,5777,17247,chanpen thai cuisine,2727 E Broadway Rd,chanpen thai cuisine,2727 E Broadway Rd,1
320799,7033,23420,boudin bakery & caf,7007 Friars Rd Ste 357,boudin bakery,7007 Friars Rd Ste 357,1
240135,5394,15159,luckys burgers & hotdog grill,7000 E Mayo Blvd Ste 1066,lucky's burgers & hotdog grill,7000 E Mayo Blvd,1
373985,8710,23948,mr sushi japanese restaurant,4860 Belt Line Rd,may dragon chinese restaurant,4848 Belt Line Rd,0
9751,546,143,pepolino restaurant,281 W Broadway,quoc & huong restaurant,1 E Broadway,0
191417,4227,12258,thang long restaurant,2536 Kensington Ave,q q rotisserie and seafood restaurant,6320 Stenton Ave,0
291926,6563,17863,410 diner,8315 Broadway,410 diner,8315 Broadway St,1
413767,9550,27571,tandoori oven,150 S 1st St Ste 107,tandoori bites,3730 N 1st St,0
187584,4169,14591,pattaya restaurant,4006 Chestnut St,starr restaurant organization lp,2013 Chestnut St,0
270533,6166,18550,urban bricks pizza,17603 La Cantera Pkwy Ste 119,urban bricks pizza,17603 La Cantera Pkwy,1
389877,9110,27305,araujos mexican grill / el paisa taqueria,3070 Senter Rd,araujos taqueria,3070 Senter Rd,1
413938,9566,27191,miyabitei japanese restaurant,675 Saratoga Ave,yas restaurant,1138 Saratoga Ave,0
233004,5125,15456,the haymaker restaurant,4717 E Bell Rd,ethiopian famous restaurant & cafe,4111 E McDowell Rd,0
181270,4050,13251,saads halal restaurant,4500 Walnut St,circa restaurant,1518 Walnut St Ste 903,0
