id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters
1,sunshine co.,780 Washington Ave,New York,NY,11238,(347) 750-5275,sunshinecobk.com,$$,American (New);Cocktail Bars,4.0,Crown Heights; Prospect Heights,Yes,No,No,Yes,Brunch,Street,Casual,Hipster,Full Bar,Yes,Free,Yes,No
2,adella,410 W 43rd St,New York,NY,10036,(212) 273-0737,adellanyc.com,$$,Tapas Bars;American (New);Wine Bars,4.0,Hell's Kitchen; Midtown West,Yes,No,No,Yes,Dessert,Street,Casual,Trendy,Beer & Wine Only,Yes,No,Yes,No
3,rex,864 10th Ave,New York,NY,10019,(929) 900-5784,rexcoffeenyc.com,$,Coffee & Tea;Sandwiches,4.5,Hell's Kitchen; Midtown West,No,No,Yes,Yes,Breakfast,Street,Casual,Hipster,No,No,Free,No,Yes
4,bistro petit,170 S 3rd St,New York,NY,11211,(718) 782-2582,bistropetit.com,$$,French,4.0,Williamsburg - South Side,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,Yes,No,Yes,Yes
5,jora restaurant & bar,47-46 11th St,New York,NY,11101,(718) 392-2033,jorany.com,$$,Peruvian,4.5,Hunters Point; Long Island City,Yes,No,Yes,Yes,Dinner,Street; Private Lot,Casual,Casual,Full Bar,No,No,Yes,No
6,il falco,21-50 44 Dr,New York,NY,11101,(718) 707-0009,ilfalcolic.com,$$$,Italian,4.5,Long Island City,Yes,Yes,Yes,Yes,Dinner,Valet; Street,Casual,Intimate,Full Bar,Yes,Free,Yes,Yes
7,wolfnights,99 Rivington St,New York,NY,10002,(646) 669-8070,wolfnightsusa.com,$,Sandwiches,4.0,Lower East Side,No,Yes,Yes,Yes,Late Night,Street,Casual,Hipster,Beer & Wine Only,Yes,Free,No,Yes
8,bogota latin bistro,141 5th Ave,New York,NY,11217,(718) 230-3805,bogotabistro.com,$$,Latin American;Gluten-Free,4.0,Park Slope,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
9,the kati roll company,49 W 39th St,New York,NY,10018,(212) 730-4280,thekatirollcompany.com,$,Indian,4.0,Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
10,prospect,773 Fulton St,New York,NY,11217,(718) 596-6826,prospectbk.com,$$$,American (New),4.0,Fort Greene,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,Yes
11,caracas arepa bar,93 1/2 E 7th St,New York,NY,10009,(212) 529-2314,caracasarepabar.com,$$,Venezuelan,4.0,East Village,No,No,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
12,sweet chick,164 Bedford Avenue,New York,NY,11211,(347) 725-4793,sweetchicknyc.com,$$,Southern,4.0,Williamsburg - North Side,No,No,Yes,Yes,Brunch,Street,Casual,Hipster,Full Bar,No,No,Yes,No
13,emporio,231 Mott St,New York,NY,10012,(212) 966-1234,emporiony.com,$$,Italian;Pizza,4.0,Nolita,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Romantic,Full Bar,No,No,Yes,Yes
14,riko peruvian cuisine,409 8th Ave,New York,NY,10001,(212) 643-7555,,$$,Peruvian,4.0,Chelsea; Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,Yes
15,cowgirl sea horse,259 Front St,New York,NY,10038,(212) 608-7873,ordercowgirlseahorse.com,$$,Tex-Mex;Seafood,3.5,Financial District,Yes,Yes,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
16,white oak tavern,21 Waverly Pl,New York,NY,10003,(212) 260-2604,whiteoakny.com,$$,Bars;Comfort Food;American (Traditional),4.0,Greenwich Village,Yes,No,Yes,Yes,Brunch; Late Night,Street,Casual,Hipster,Full Bar,No,Free,Yes,No
17,la esquina corner deli,114 Kenmare St,New York,NY,10012,(646) 613-7100,esquinanyc.com,$$,Latin American;Mexican,4.0,SoHo,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
18,vin et fleurs,69 Thompson St,New York,NY,10012,(212) 431-3335,vinetfleurs.com,$$,French,4.0,South Village,No,Yes,Yes,Yes,Brunch,Garage; Street,Casual,Intimate,Full Bar,No,No,Yes,No
19,yuji ramen,150 Ainslie St,New York,NY,11211,(718) 302-0598,yujiramen.com,$$,Ramen,5.0,Williamsburg - North Side,No,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
20,the green table,Chelsea Market 75 9th Ave,New York,NY,10011,(212) 741-6623,cleaverco.com/green-table,$$,Vegetarian;American (New);Breakfast & Brunch,4.0,Meatpacking District; Chelsea,Yes,No,No,Yes,Lunch; Dinner,Garage; Street,Casual,Casual,Full Bar,No,No,Yes,Yes
21,gotan,130 Franklin St,New York,NY,10013,(212) 431-5200,gotannyc.com,$$,Cafes,4.5,TriBeCa,No,No,Yes,Yes,Brunch,,Casual,Trendy,No,Yes,Free,Yes,Yes
22,the eddy,342 E 6th St,New York,NY,10003,(646) 895-9884,theeddynyc.com,$$$,American (New),4.5,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
23,nai tapas bar,174 1st Ave,New York,NY,10009,(212) 677-1030,naitapas.nyc,$$,Tapas/Small Plates,4.0,East Village,Yes,No,Yes,Yes,Dinner,Garage; Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,No
24,el kucho mexican restaurant,141 Wilson Ave,New York,NY,11237,(917) 966-5124,,$,Mexican,4.5,Bushwick,Yes,Yes,Yes,Yes,Lunch,Street,Casual,,No,Yes,Free,Yes,Yes
25,cocoron,61 Delancey St,New York,NY,10002,(212) 925-5220,cocoron-soba.com,$$,Japanese,4.0,Lower East Side,No,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
26,vic’s,31 Great Jones St,New York,NY,10012,(212) 253-5700,vicsnewyork.com,$$,Bars;Mediterranean;American (New),4.0,NoHo,Yes,No,Yes,Yes,Brunch,Garage; Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
27,employees only,510 Hudson St,New York,NY,10014,(212) 242-3021,employeesonlynyc.com,$$$,American (New);Lounges,4.0,West Village,Yes,No,No,Yes,Late Night,Street,Casual,Trendy,Full Bar,No,No,Yes,No
28,sergimmo salumeria,456 9th Ave,New York,NY,10018,(212) 967-4212,sergimmo.com,$$,Italian;Sandwiches,4.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
29,yakiniku west,218 E 9th St,New York,NY,10003,(212) 979-9238,yakinikuwest.com,$$,Japanese;Barbeque,4.0,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
30,puff cha ramen,457 W 50th St,New York,NY,10019,(646) 682-7768,,$,Thai;Ramen,4.5,Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Dessert,Valet; Garage; Street,Casual,Divey,No,No,No,Yes,Yes
31,upstate,95 1st Ave,New York,NY,10003,(917) 408-3395,upstatenyc.com,$$,American (New);Seafood,4.5,East Village,No,No,No,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
32,joya,215 Court St,New York,NY,11201,(718) 222-3484,,$$,Thai,4.0,Cobble Hill,No,Yes,Yes,No,Dinner,Street,Casual,Trendy,Full Bar,Yes,No,Yes,No
33,cafecito,185 Avenue C,New York,NY,10009,(212) 253-9966,cafecitonyc.com,$$,Cuban,4.0,East Village; Alphabet City,Yes,Yes,Yes,No,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
34,the spotted pig,314 W 11th St,New York,NY,10014,(212) 620-0393,thespottedpig.com,$$$,Burgers;Gastropubs,3.5,West Village,No,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,No
35,govinda’s vegetarian,305 Schermerhorn St,New York,NY,11217,(718) 855-6714,radhagovinda.net/govinda.html,$,Vegetarian;Vegan;Gluten-Free,4.5,Downtown Brooklyn; Boerum Hill,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,Yes
36,carroll place,157 Bleecker St,New York,NY,10012,(212) 260-1700,carrollplacenyc.com,$$,Gastropubs;Italian;Wine Bars,4.0,Greenwich Village,Yes,Yes,Yes,Yes,Brunch; Late Night,Street,Casual,Casual,Full Bar,No,No,Yes,No
37,streets,53 Broadway,New York,NY,11249,(718) 384-2899,streetsbk.com,$$,American (New);Latin American;Asian Fusion,4.0,South Williamsburg,Yes,No,Yes,Yes,Dessert,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
38,the smith,956 2nd Ave,New York,NY,10022,(212) 644-2700,thesmithrestaurant.com,$$,American (Traditional);Breakfast & Brunch;Brasseries,4.0,Midtown East,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
39,the chinese couple vendor aka the dollar cart!,Canal St & Elizabeth St,New York,NY,10013,,,$,Food Stands;Chinese,4.5,Chinatown,No,No,Yes,No,Lunch,,Casual,,No,No,No,No,No
40,pure thai cookhouse,766 9th Ave,New York,NY,10019,(212) 581-0999,purethaishophouse.com,$$,Thai,4.0,Theater District; Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
41,ovest pizzoteca,513 W 27th St,New York,NY,10001,(212) 967-4392,ovestnyc.com,$$,Pizza,4.0,Chelsea,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
42,sharkey’s cafe,48 Mulberry St,New York,NY,10013,(212) 804-8183,sharkeyscafe.com,$,Coffee & Tea;Sandwiches;Breakfast & Brunch,4.5,Chinatown; Civic Center,No,Yes,Yes,Yes,Breakfast,Garage,Casual,Casual,No,No,No,No,Yes
43,la goulette,159 Grand St,New York,NY,11249,(347) 689-4126,lagoulettewilliamsburg.com,$,Mediterranean;Middle Eastern;Halal,4.5,Williamsburg - North Side,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,No,Yes
44,la lanterna di vittorio,129 MacDougal St,New York,NY,10012,(212) 529-5945,lalanternacaffe.com,$$,Italian,4.0,Greenwich Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Romantic,Full Bar,Yes,No,Yes,No
45,barn joo,893 Broadway,New York,NY,10003,(646) 398-9663,barnjoo.com,$$,Korean;Gastropubs,4.0,Flatiron,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
46,el rinconcito,408 E 10th St,New York,NY,10009,(212) 254-1381,,$,Latin American;Puerto Rican,4.5,East Village; Alphabet City,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,,No,No,Yes,Yes
47,fort defiance,365 Van Brunt St,New York,NY,11231,(917) 310-0629,fortdefiancebrooklyn.com,$$,American (New);Breakfast & Brunch,4.0,Red Hook,No,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
48,umami burger,432 6th Ave,New York,NY,10011,(212) 677-8626,umamiburger.com,$$,Burgers;American (New);Gastropubs,4.0,Greenwich Village,No,No,No,Yes,Lunch; Dinner,Street,Casual,Casual,Full Bar,No,Free,Yes,No
49,the bounty,131 Greenpoint Ave,New York,NY,11222,(347) 689-3325,thebountybrooklyn.com,$$,Bars;American (New),4.0,Greenpoint,Yes,No,Yes,Yes,Dinner,Street,Casual,Hipster,Full Bar,Yes,No,Yes,No
50,pio pio,210 E 34th St,New York,NY,10016,(212) 481-0034,piopio.com,$$,Latin American;Peruvian,4.0,Midtown East; Murray Hill; Kips Bay,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,Yes
51,flat top,1241 Amsterdam Ave,New York,NY,10027,(646) 820-7735,flattopnyc.com,$$,American (New);Cafes,4.0,Morningside Heights,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,No
52,tibetan dumpling cafe,49-08 Queens Blvd,New York,NY,11377,(347) 507-1555,,$,Himalayan/Nepalese,4.5,Woodside,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,Free,Yes,Yes
53,don chingon,216 Flatbush Ave,New York,NY,11217,(718) 576-3521,donchingon.nyc,$$,Mexican;Cocktail Bars;Tex-Mex,4.5,Prospect Heights,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
54,pippali,129 E 27th St,New York,NY,10016,(212) 689-1999,pippalinyc.com,$$,Indian,4.0,Flatiron,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
55,olea,171 Lafayette Ave,New York,NY,11238,(718) 643-7003,oleabrooklyn.com,$$,Mediterranean,4.0,Fort Greene,No,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
56,momofuku ko,8 Extra Pl,New York,NY,10003,(212) 203-8095,momofuku.com,$$$$,American (New),4.5,East Village,Yes,No,No,Yes,Dinner,Street,Casual,Trendy,Full Bar,No,No,Yes,No
